,#NO,RA,DEC,VLSR,FLUX,DFLUX,??
,42,0.01474,0.02462,-3.78174,1.33100,0.06000,1
,43,0.00000,-0.00011,-4.20303,1.07500,0.07100,1
,43,0.01486,0.02461,-4.20303,5.92900,0.07100,1
,44,-0.00006,-0.00026,-4.62433,2.45300,0.17700,1
,44,0.00009,0.00033,-4.62433,1.31300,0.17700,1
,44,0.01485,0.02462,-4.62433,20.52900,0.17700,1
,44,0.01525,0.02272,-4.62433,7.06800,0.17700,1
,44,0.01534,0.02240,-4.62433,1.72900,0.17700,1
,45,-0.00001,-0.00006,-5.04563,16.72700,0.41000,1
,45,0.01483,0.02462,-5.04563,44.83700,0.41000,1
,45,0.01525,0.02265,-5.04563,7.95000,0.41000,1
,45,0.01808,0.04170,-5.04563,8.65300,0.41000,1
,46,-0.00001,-0.00007,-5.46692,57.41700,0.72300,1
,46,0.00040,-0.00188,-5.46692,24.84100,0.72300,1
,46,0.00051,-0.00224,-5.46692,6.41300,0.72300,1
,46,0.01481,0.02461,-5.46692,52.36300,0.72300,1
,46,0.01519,0.02272,-5.46692,19.29600,0.72300,1
,46,0.01524,0.02237,-5.46692,4.04000,0.72300,1
,47,0.00000,-0.00007,-5.88822,124.43500,1.14100,1
,47,0.00041,-0.00196,-5.88822,25.94300,1.14100,1
,47,0.01478,0.02459,-5.88822,31.40300,1.14100,1
,48,0.00000,-0.00008,-6.30952,175.31599,1.42800,1
,49,-0.00539,-0.05114,-6.73082,12.75300,1.43700,1
,49,-0.00001,-0.00008,-6.73082,184.59500,1.43700,1
,49,0.00036,-0.00188,-6.73082,80.77600,1.43700,1
,49,0.00045,-0.00227,-6.73082,19.64200,1.43700,1
,50,-0.00533,-0.05103,-7.15211,18.30800,1.34500,1
,50,-0.00502,-0.05071,-7.15211,7.20800,1.34500,1
,50,-0.00335,-0.01719,-7.15211,18.46200,1.34500,1
,50,-0.00299,-0.01713,-7.15211,11.70400,1.34500,1
,50,-0.00001,-0.00007,-7.15211,178.61501,1.34500,1
,50,0.00039,-0.00201,-7.15211,36.95200,1.34500,1
,51,-0.00523,-0.05100,-7.57341,11.86400,1.28800,1
,51,-0.00510,-0.07281,-7.57341,9.67700,1.28800,1
,51,-0.00477,-0.07262,-7.57341,7.64700,1.28800,1
,51,-0.00321,-0.01721,-7.57341,52.23500,1.28800,1
,51,0.00001,-0.00004,-7.57341,171.51801,1.28800,1
,52,-0.00510,-0.07278,-7.99471,9.26300,1.19300,1
,52,-0.00478,-0.07260,-7.99471,6.18200,1.19300,1
,52,-0.00340,-0.01763,-7.99471,9.04600,1.19300,1
,52,-0.00319,-0.01715,-7.99471,18.76300,1.19300,1
,52,0.00002,-0.00002,-7.99471,168.05701,1.19300,1
,53,-0.00067,0.00222,-8.41600,11.05600,1.32700,1
,53,-0.00030,0.00188,-8.41600,59.45900,1.32700,1
,53,0.00004,-0.00002,-8.41600,160.69099,1.32700,1
,54,-0.00042,0.00197,-8.83730,21.72300,1.26900,1
,54,0.00005,-0.00003,-8.83730,147.81400,1.26900,1
,54,0.00309,0.01693,-8.83730,10.87700,1.26900,1
,54,0.00335,0.01728,-8.83730,20.55200,1.26900,1
,55,-0.00042,0.00196,-9.25860,15.20900,0.89100,1
,55,0.00006,-0.00005,-9.25860,104.54600,0.89100,1
,55,0.00045,-0.00188,-9.25860,46.21100,0.89100,1
,55,0.00052,-0.00223,-9.25860,10.65300,0.89100,1
,55,0.00326,0.01718,-9.25860,19.38400,0.89100,1
,56,0.00008,-0.00007,-9.67989,50.53500,0.46000,1
,56,0.00051,-0.00209,-9.67989,20.98400,0.46000,1
,56,0.00060,-0.00242,-9.67989,3.60500,0.46000,1
,56,0.00327,0.01713,-9.67989,10.19400,0.46000,1
,57,0.00012,-0.00003,-10.10119,15.87600,0.31300,1
,58,0.00115,0.00284,-10.52249,3.41500,0.35500,1
,58,0.00151,0.00249,-10.52249,9.86000,0.35500,1
,58,0.00199,0.00050,-10.52249,18.49800,0.35100,1
,59,0.00109,0.00305,-10.94378,5.23300,0.39300,1
,59,0.00142,0.00269,-10.94378,16.72700,0.39300,1
,59,0.00193,0.00066,-10.94378,28.23600,0.38500,1
,59,0.00243,-0.00138,-10.94378,7.97600,0.39300,1
,60,0.00118,0.00306,-11.36508,7.78500,0.34700,1
,60,0.00185,0.00086,-11.36508,25.74900,0.33700,1
,60,0.00243,-0.00137,-11.36508,6.43500,0.34700,1
,61,0.00173,0.00111,-11.78638,15.75900,0.22600,1
,62,0.00165,0.00132,-12.20768,7.06400,0.14400,1
,62,0.00265,0.00147,-12.20768,1.41100,0.14800,1
,62,0.00287,0.00211,-12.20768,1.79700,0.14800,1
,62,0.02040,0.02000,-12.20768,4.18800,0.14700,1
,63,0.00142,0.00108,-12.62897,3.51100,0.11400,1
,63,0.00164,0.00185,-12.62897,2.11000,0.11300,1
,63,0.00275,0.00209,-12.62897,4.90800,0.11300,1
,63,0.02040,0.02001,-12.62897,3.90800,0.11400,1
,64,0.00141,0.00131,-13.05027,5.89400,0.10400,1
,64,0.00285,0.00221,-13.05027,5.26600,0.10400,1
,64,0.02041,0.01993,-13.05027,2.28400,0.10400,1
,65,0.00137,0.00134,-13.47157,7.01500,0.09400,1
,65,0.00294,0.00225,-13.47157,4.50000,0.09400,1
,66,0.00136,0.00131,-13.89286,4.40900,0.06800,1
,66,0.00298,0.00223,-13.89286,2.77200,0.06800,1
,66,0.04899,0.05781,-13.89286,1.13100,0.06800,1
,67,0.00138,0.00117,-14.31416,1.32000,0.04900,1
,67,0.00296,0.00225,-14.31416,1.28100,0.04900,1
,67,0.04895,0.05784,-14.31416,1.86500,0.04900,1
,68,0.04892,0.05784,-14.73546,2.53700,0.04700,1
,69,0.04887,0.05782,-15.15675,2.44400,0.05600,1
,70,0.04884,0.05776,-15.57805,1.80500,0.07200,1
,71,0.04887,0.05780,-15.99935,1.02800,0.07100,1
,73,-0.01847,-0.01432,-16.84194,1.41800,0.21000,1
,74,-0.01837,-0.01441,-17.26324,1.61600,0.22300,1
,75,-0.01833,-0.01435,-17.68454,1.13200,0.15700,1
,75,0.07578,0.01458,-17.68454,2.72500,0.16300,1
,76,0.07573,0.01470,-18.10583,3.43500,0.09000,1
,77,0.07572,0.01474,-18.52713,1.73200,0.05800,1
,78,0.02578,-0.00141,-18.94843,1.03000,0.04800,1
,79,0.02583,-0.00137,-19.36972,2.37000,0.04800,1
,80,0.02588,-0.00141,-19.79102,4.28400,0.05600,1
,81,0.02591,-0.00144,-20.21232,5.88300,0.06700,1
,82,0.02594,-0.00148,-20.63361,6.10400,0.07200,1
,83,0.02598,-0.00150,-21.05491,4.49600,0.06700,1
