,#NO,RA,DEC,VLSR,FLUX,DFLUX,??
,31,0.05790,0.07005,0.85216,2.05100,0.06300,1
,32,0.05782,0.06996,0.43087,5.67000,0.08600,1
,33,0.05777,0.06993,0.00957,16.69200,0.20500,1
,34,0.05749,0.07196,-0.41172,5.56000,0.35600,1
,34,0.05776,0.06993,-0.41172,29.90100,0.35500,1
,34,0.05801,0.06812,-0.41172,14.82500,0.35600,1
,34,0.05809,0.06777,-0.41172,3.53100,0.35600,1
,35,0.05750,0.07224,-0.83301,3.27800,0.37500,1
,35,0.05753,0.07188,-0.83301,12.44700,0.37500,1
,35,0.05779,0.06995,-0.83301,31.37500,0.37200,1
,35,0.05806,0.06792,-0.83301,11.63000,0.37500,1
,35,0.05812,0.06758,-0.83301,2.72500,0.37500,1
,36,0.05764,0.07214,-1.25431,4.98900,0.34600,1
,36,0.05790,0.07003,-1.25431,28.88100,0.34000,1
,37,0.05774,0.07215,-1.67560,5.08700,0.32900,1
,37,0.05798,0.07008,-1.67560,26.69000,0.32400,1
,38,0.05798,0.07008,-2.09689,17.50800,0.23200,1
,39,0.05789,0.07003,-2.51819,8.78000,0.22900,1
,42,-0.00018,-0.00027,-3.78207,1.95800,0.12000,1
,42,0.01501,0.02511,-3.78207,3.70400,0.12100,1
,42,0.01928,0.03909,-3.78207,2.08900,0.12100,1
,43,-0.00022,-0.00024,-4.20336,3.46100,0.14500,1
,43,0.01504,0.02516,-4.20336,9.55500,0.14500,1
,43,0.01925,0.03907,-4.20336,2.68800,0.14500,1
,44,-0.00023,-0.00028,-4.62465,7.14500,0.27800,1
,44,0.01506,0.02519,-4.62465,20.67100,0.27800,1
,45,-0.00050,0.00152,-5.04595,5.52200,0.52300,1
,45,-0.00024,-0.00039,-5.04595,26.35100,0.52300,1
,45,0.00001,-0.00235,-5.04595,4.82700,0.52300,1
,45,0.01507,0.02517,-5.04595,33.24500,0.52300,1
,46,-0.00050,0.00154,-5.46724,20.86500,1.36700,1
,46,-0.00024,-0.00046,-5.46724,108.64400,1.36500,1
,46,-0.00007,-0.00220,-5.46724,18.43000,1.36700,1
,46,0.00005,-0.00250,-5.46724,18.40200,1.36700,1
,46,0.01507,0.02515,-5.46724,30.60000,1.36300,1
,47,-0.00048,0.00164,-5.88853,40.26700,3.63200,1
