,#NO,RA,DEC,VLSR,FLUX,DFLUX,??
,34,0.06258,0.09179,-0.40326,5.23500,0.10100,1
,35,0.06255,0.09180,-0.82455,12.16400,0.21300,1
,36,0.06253,0.09177,-1.24584,15.07800,0.25500,1
,37,0.06249,0.09176,-1.66712,10.11100,0.17400,1
,38,0.06241,0.09172,-2.08841,3.18500,0.07200,1
,39,0.02708,0.06128,-2.50970,1.69000,0.05900,1
,39,0.06156,0.09050,-2.50970,1.43500,0.05900,1
,40,0.02187,0.06069,-2.93098,1.03700,0.07400,1
,40,0.02223,0.05905,-2.93098,1.25400,0.07400,1
,40,0.02716,0.06120,-2.93098,1.75100,0.07300,1
,40,0.06166,0.09054,-2.93098,1.63000,0.07300,1
,41,0.02182,0.06082,-3.35227,1.54500,0.14800,1
,41,0.02220,0.05891,-3.35227,5.79600,0.14800,1
,42,0.02221,0.05882,-3.77356,13.51700,0.32300,1
,43,0.02221,0.05881,-4.19485,17.96900,0.54300,1
,43,0.02865,0.06566,-4.19485,8.94400,0.54300,1
,43,0.06184,0.09088,-4.19485,11.32500,0.54300,1
,43,0.06233,0.09034,-4.19485,3.65000,0.53900,1
,44,0.02215,0.05920,-4.61613,8.29800,0.87000,1
,44,0.02231,0.05813,-4.61613,5.07600,0.87000,1
,44,0.02639,0.04810,-4.61613,5.18500,0.87000,1
,44,0.02869,0.06555,-4.61613,30.64700,0.87000,1
,44,0.06192,0.09087,-4.61613,22.16100,0.87000,1
,45,0.00489,0.02952,-5.03742,8.27700,1.43200,1
,45,0.02612,0.04844,-5.03742,16.52400,1.43200,1
,45,0.02871,0.06549,-5.03742,61.92200,1.43200,1
,46,-0.00100,0.00806,-5.45871,14.99100,1.62900,1
,46,0.00490,0.02951,-5.45871,10.23900,1.62900,1
,46,0.02874,0.06548,-5.45871,69.98900,1.62900,1
,47,-0.04725,-0.08017,-5.88000,10.49200,1.51500,1
,47,-0.04718,-0.07941,-5.88000,18.19000,1.50700,1
,47,-0.00098,0.00823,-5.88000,34.86300,1.51500,1
,47,0.01807,0.04497,-5.88000,16.85600,1.51500,1
,47,0.02873,0.06555,-5.88000,43.62500,1.51500,1
,48,-0.04720,-0.07985,-6.30128,74.22700,2.13700,1
,49,-0.05115,-0.05601,-6.72257,81.00400,3.61100,1
,49,-0.05073,-0.05629,-6.72257,33.94900,3.61100,1
,49,-0.04724,-0.07993,-6.72257,100.75400,3.61100,1
,49,-0.00003,0.00005,-6.72257,175.12399,3.61100,1
,50,-0.05127,-0.05587,-7.14386,121.11100,5.49500,1
,50,-0.05086,-0.05602,-7.14386,89.18700,5.49500,1
,50,-0.04740,-0.08017,-7.14386,48.70300,5.49500,1
,50,-0.04706,-0.08006,-7.14386,37.17400,5.49500,1
,50,-0.00002,0.00000,-7.14386,400.53601,5.49500,1
,51,-0.05195,-0.05941,-7.56514,83.25700,6.01100,1
