-3.8, '1111000', [0.79646, 0.79752, 0.798067, 0.799765, [99900], [99900], [99900]], [1e-05, 1e-05, 0.000537, 9.5e-05, [99900], [99900], [99900]], [-5.46691, -5.46899, -5.470947, -5.475015, [99900], [99900], [99900]], [1e-05, 1e-05, 0.000792, 0.000421, [99900], [99900], [99900]]
-4.2, '1111000', [0.79644, 0.79755, 0.797987, 0.799745, [99900], [99900], [99900]], [1e-05, 1e-05, 0.000554, 9.5e-05, [99900], [99900], [99900]], [-5.46681, -5.46932, -5.4709, -5.47482, [99900], [99900], [99900]], [1e-05, 1e-05, 0.000758, 0.000403, [99900], [99900], [99900]]
-4.6, '0110000', [[99900], 0.79757, 0.797977, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 0.000444, [99900], [99900], [99900], [99900]], [[99900], -5.46915, -5.470647, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 0.000819, [99900], [99900], [99900], [99900]]
-3.4, '0011000', [[99900], [99900], 0.797865, 0.799745, [99900], [99900], [99900]], [[99900], [99900], 0.000426, 0.000117, [99900], [99900], [99900]], [[99900], [99900], -5.470247, -5.47521, [99900], [99900], [99900]], [[99900], [99900], 0.000799, 0.000403, [99900], [99900], [99900]]
-19.8, '1010000', [0.79079, [99900], 0.79142, [99900], [99900], [99900], [99900]], [1e-05, [99900], 1e-05, [99900], [99900], [99900], [99900]], [-5.46682, [99900], -5.47304, [99900], [99900], [99900], [99900]], [1e-05, [99900], 1e-05, [99900], [99900], [99900], [99900]]
-20.2, '1110000', [0.79082, 0.78916, 0.79132, [99900], [99900], [99900], [99900]], [1e-05, 1e-05, 1e-05, [99900], [99900], [99900], [99900]], [-5.46675, -5.47022, -5.47327, [99900], [99900], [99900], [99900]], [1e-05, 1e-05, 1e-05, [99900], [99900], [99900], [99900]]
-21.1, '1111000', [0.790195, 0.79065, 0.78665, 0.79181, [99900], [99900], [99900]], [0.000442, 1e-05, 1e-05, 0.000396, [99900], [99900], [99900]], [-5.467075, -5.47038, -5.46634, -5.475655, [99900], [99900], [99900]], [0.000293, 1e-05, 1e-05, 0.000527, [99900], [99900], [99900]]
-21.5, '1111000', [0.79022, 0.79061, 0.78891, 0.791815, [99900], [99900], [99900]], [0.00046, 1e-05, 0.001219, 0.000343, [99900], [99900], [99900]], [-5.467085, -5.4702, -5.469212, -5.47576, [99900], [99900], [99900]], [0.000265, 1e-05, 0.001692, 0.000424, [99900], [99900], [99900]]
-21.9, '1111000', [0.790557, 0.79053, 0.788865, 0.79178, [99900], [99900], [99900]], [0.000396, 1e-05, 0.001216, 0.000339, [99900], [99900], [99900]], [-5.467023, -5.47, -5.469077, -5.47588, [99900], [99900], [99900]], [0.000184, 1e-05, 0.001675, 0.000424, [99900], [99900], [99900]]
-22.3, '1111000', [0.790643, 0.79032, 0.786335, 0.791845, [99900], [99900], [99900]], [0.000427, 1e-05, 0.000152, 8.8e-05, [99900], [99900], [99900]], [-5.467083, -5.46987, -5.465565, -5.475635, [99900], [99900], [99900]], [0.000145, 1e-05, 0.000484, 0.000435, [99900], [99900], [99900]]
-22.8, '1100000', [0.78962, 0.79024, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]], [-5.46744, -5.46951, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]]
-20.6, '0111000', [[99900], 0.78919, 0.791165, 0.79234, [99900], [99900], [99900]], [[99900], 1e-05, 0.000152, 1e-05, [99900], [99900], [99900]], [[99900], -5.47023, -5.47316, -5.47654, [99900], [99900], [99900]], [[99900], 1e-05, 0.00029, 1e-05, [99900], [99900], [99900]]
-15.6, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.85477, 0.85508], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -5.44435, -5.44567], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-16.0, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.85471, 0.85506], [[99900], [99900], [99900], [99900], [99900], 3.5e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -5.44418, -5.44564], [[99900], [99900], [99900], [99900], [99900], 0.000346, 1e-05]
-16.4, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.854585, 0.85501], [[99900], [99900], [99900], [99900], [99900], 0.00011, 1e-05], [[99900], [99900], [99900], [99900], [99900], -5.44424, -5.44556], [[99900], [99900], [99900], [99900], [99900], 7.1e-05, 1e-05]
-16.8, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.85462, 0.85491], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -5.44381, -5.44551], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-33.3, '1100000', [0.8597, 0.86089, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]], [-5.42099, -5.42405, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]]
-33.7, '1100000', [0.85969, 0.86085, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]], [-5.42105, -5.42407, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]]
-34.1, '1100000', [0.85964, 0.86083, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]], [-5.42106, -5.42416, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]]
-22.3, '1110000', [0.67298, 0.67386, 0.67363, [99900], [99900], [99900], [99900]], [1e-05, 1e-05, 1e-05, [99900], [99900], [99900], [99900]], [-5.2593, -5.26238, -5.26418, [99900], [99900], [99900], [99900]], [1e-05, 1e-05, 1e-05, [99900], [99900], [99900], [99900]]
-22.8, '1100000', [0.6725, 0.67321, [99900], [99900], [99900], [99900], [99900]], [1e-05, 0.000396, [99900], [99900], [99900], [99900], [99900]], [-5.25892, -5.26172, [99900], [99900], [99900], [99900], [99900]], [1e-05, 0.000453, [99900], [99900], [99900], [99900], [99900]]
-23.2, '1110000', [0.67237, 0.6732, 0.673715, [99900], [99900], [99900], [99900]], [1e-05, 0.000276, 5.3e-05, [99900], [99900], [99900], [99900]], [-5.25879, -5.2621, -5.26459, [99900], [99900], [99900], [99900]], [1e-05, 0.000184, 0.000212, [99900], [99900], [99900], [99900]]
-23.6, '1110000', [0.67232, 0.67327, 0.673735, [99900], [99900], [99900], [99900]], [1e-05, 3.5e-05, 5.3e-05, [99900], [99900], [99900], [99900]], [-5.25874, -5.26213, -5.26461, [99900], [99900], [99900], [99900]], [1e-05, 0.000255, 0.000212, [99900], [99900], [99900], [99900]]
-24.0, '1110000', [0.672085, 0.673395, 0.67381, [99900], [99900], [99900], [99900]], [0.000138, 8.1e-05, 6.4e-05, [99900], [99900], [99900], [99900]], [-5.257815, -5.262255, -5.26466, [99900], [99900], [99900], [99900]], [0.000626, 0.000371, 0.000198, [99900], [99900], [99900], [99900]]
-24.4, '1010000', [0.672075, [99900], 0.67384, [99900], [99900], [99900], [99900]], [0.000131, [99900], 5.7e-05, [99900], [99900], [99900], [99900]], [-5.257805, [99900], -5.264715, [99900], [99900], [99900], [99900]], [0.000619, [99900], 0.000216, [99900], [99900], [99900], [99900]]
-19.8, '0000110', [[99900], [99900], [99900], [99900], 0.68926, 0.6906, [99900]], [[99900], [99900], [99900], [99900], 1e-05, 1e-05, [99900]], [[99900], [99900], [99900], [99900], -5.28801, -5.29242, [99900]], [[99900], [99900], [99900], [99900], 1e-05, 1e-05, [99900]]
-20.2, '0000110', [[99900], [99900], [99900], [99900], 0.689375, 0.69018, [99900]], [[99900], [99900], [99900], [99900], 0.000103, 0.000361, [99900]], [[99900], [99900], [99900], [99900], -5.288055, -5.29196, [99900]], [[99900], [99900], [99900], [99900], 0.000329, 0.00041, [99900]]
-20.6, '0000111', [[99900], [99900], [99900], [99900], 0.68933, 0.690465, 0.69085], [[99900], [99900], [99900], [99900], 1e-05, 0.00023, 1e-05], [[99900], [99900], [99900], [99900], -5.28788, -5.292155, -5.29408], [[99900], [99900], [99900], [99900], 1e-05, 8.1e-05, 1e-05]
-21.5, '0000111', [[99900], [99900], [99900], [99900], 0.68936, 0.69031, 0.69075], [[99900], [99900], [99900], [99900], 1e-05, 1e-05, 1e-05], [[99900], [99900], [99900], [99900], -5.28788, -5.29217, -5.29396], [[99900], [99900], [99900], [99900], 1e-05, 1e-05, 1e-05]
-21.9, '0000111', [[99900], [99900], [99900], [99900], 0.68937, 0.69029, 0.69067], [[99900], [99900], [99900], [99900], 1e-05, 1e-05, 1e-05], [[99900], [99900], [99900], [99900], -5.28789, -5.29214, -5.29393], [[99900], [99900], [99900], [99900], 1e-05, 1e-05, 1e-05]
-21.0, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.690275, 0.69081], [[99900], [99900], [99900], [99900], [99900], 3.2e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -5.291855, -5.29403], [[99900], [99900], [99900], [99900], [99900], 0.000364, 1e-05]
-16.4, '0110000', [[99900], 0.68473, 0.68501, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 0.00046, [99900], [99900], [99900], [99900]], [[99900], -5.28573, -5.287897, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 0.000791, [99900], [99900], [99900], [99900]]
-17.3, '0110000', [[99900], 0.68462, 0.684963, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 0.000452, [99900], [99900], [99900], [99900]], [[99900], -5.28567, -5.28787, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 0.000796, [99900], [99900], [99900], [99900]]
-17.7, '0110000', [[99900], 0.68454, 0.684937, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 0.000453, [99900], [99900], [99900], [99900]], [[99900], -5.28563, -5.28789, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 0.000807, [99900], [99900], [99900], [99900]]
-18.1, '0110000', [[99900], 0.68445, 0.684655, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 0.000426, [99900], [99900], [99900], [99900]], [[99900], -5.28564, -5.287418, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 0.000773, [99900], [99900], [99900], [99900]]
-18.5, '0110000', [[99900], 0.68423, 0.6855, [99900], [99900], [99900], [99900]], [[99900], 7.1e-05, 0.0, [99900], [99900], [99900], [99900]], [[99900], -5.285385, -5.28916, [99900], [99900], [99900], [99900]], [[99900], 0.000364, 0.000325, [99900], [99900], [99900], [99900]]
-19.8, '0110000', [[99900], 0.68367, 0.68398, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 1e-05, [99900], [99900], [99900], [99900]], [[99900], -5.28493, -5.28747, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 1e-05, [99900], [99900], [99900], [99900]]
-20.2, '0010100', [[99900], [99900], 0.68403, [99900], 0.68602, [99900], [99900]], [[99900], [99900], 3.5e-05, [99900], 1e-05, [99900], [99900]], [[99900], [99900], -5.287845, [99900], -5.28772, [99900], [99900]], [[99900], [99900], 0.000272, [99900], 1e-05, [99900], [99900]]
-17.7, '0110000', [[99900], 0.68004, 0.68057, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 0.00017, [99900], [99900], [99900], [99900]], [[99900], -5.27937, -5.282115, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 0.000499, [99900], [99900], [99900], [99900]]
-18.1, '0110000', [[99900], 0.67986, 0.680595, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 0.000138, [99900], [99900], [99900], [99900]], [[99900], -5.2792, -5.282275, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 0.000392, [99900], [99900], [99900], [99900]]
-20.6, '0110000', [[99900], 0.68124, 0.68177, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 1e-05, [99900], [99900], [99900], [99900]], [[99900], -5.2824, -5.28554, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 1e-05, [99900], [99900], [99900], [99900]]
-21.1, '0110000', [[99900], 0.6812, 0.68175, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 1e-05, [99900], [99900], [99900], [99900]], [[99900], -5.28246, -5.28553, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 1e-05, [99900], [99900], [99900], [99900]]
-25.7, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.89725, 0.89723], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.83298, -4.83392], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-26.1, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.89722, 0.89721], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.83291, -4.83407], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-26.5, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.89722, 0.8972], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.8329, -4.83416], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-26.9, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.89721, 0.89718], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.83288, -4.8342], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-27.4, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.89719, 0.89716], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.83292, -4.83422], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-27.8, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.89715, 0.89717], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.83301, -4.83416], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-28.2, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.8971, 0.89718], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], -4.83305, -4.83407], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
